City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","741235","2005","PM2.5","WHO_2021_AQG_Scen_Base","138","22.0","22.2","1211","932","1345","14373","11060","15966"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","248805","2005","PM2.5","WHO_2021_AQG_Scen_Base","57","21.6","21.7","223","171","247","2372","1824","2636"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7635924","2005","PM2.5","WHO_2021_AQG_Scen_Base","1885","17.9","18.0","5720","4379","6367","64253","49232","71524"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11415909","2005","PM2.5","WHO_2021_AQG_Scen_Base","2178","24.4","24.6","13998","10804","15529","179129","138268","198685"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3342853","2005","PM2.5","WHO_2021_AQG_Scen_Base","712","20.6","20.8","3684","2832","4097","40717","31289","45265"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6911176","2005","PM2.5","WHO_2021_AQG_Scen_Base","849","33.1","33.2","15309","11894","16926","173653","134918","192008"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2680823","2005","PM2.5","WHO_2021_AQG_Scen_Base","778","11.6","11.8","1315","1001","1465","12825","9776","14316"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","289579","2005","PM2.5","WHO_2021_AQG_Scen_Base","76","25.5","25.6","357","275","395","4176","3221","4632"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","745077","2005","PM2.5","WHO_2021_AQG_Scen_Base","159","24.5","24.5","931","715","1032","10855","8367","12049"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2449723","2010","PM2.5","WHO_2021_AQG_Scen_Base","446","20.1","21.0","2436","1874","2710","27613","21221","30695"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3144965","2010","PM2.5","WHO_2021_AQG_Scen_Base","745","19.2","19.6","2994","2296","3331","33898","26015","37706"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2906441","2010","PM2.5","WHO_2021_AQG_Scen_Base","384","28.6","28.9","6950","5377","7695","74001","57271","81975"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","467377","2010","PM2.5","WHO_2021_AQG_Scen_Base","131","22.7","22.7","340","262","376","3886","2990","4318"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2527742","2010","PM2.5","WHO_2021_AQG_Scen_Base","536","22.8","23.0","3100","2391","3439","36011","27757","39970"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25264126","2010","PM2.5","WHO_2021_AQG_Scen_Base","6769","17.3","17.4","23089","17683","25711","264112","202317","294064"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1524594","2010","PM2.5","WHO_2021_AQG_Scen_Base","400","11.7","11.7","710","541","792","7933","6046","8858"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","512730","2010","PM2.5","WHO_2021_AQG_Scen_Base","103","9.3","9.2","177","134","198","2098","1595","2345"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22847104","2010","PM2.5","WHO_2021_AQG_Scen_Base","2439","12.7","13.0","10597","8085","11824","124440","94932","138822"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1214543","2010","PM2.5","WHO_2021_AQG_Scen_Base","427","8.6","8.6","292","221","327","3383","2571","3782"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21785655","2010","PM2.5","WHO_2021_AQG_Scen_Base","4382","17.7","18.1","16354","12542","18206","206555","158337","229885"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5096959","2010","PM2.5","WHO_2021_AQG_Scen_Base","557","21.8","22.1","5911","4544","6565","64279","49444","71418"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1097969","2010","PM2.5","WHO_2021_AQG_Scen_Base","195","21.7","21.7","1505","1157","1672","16446","12645","18277"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2762313","2010","PM2.5","WHO_2021_AQG_Scen_Base","577","22.2","22.5","4262","3280","4734","51608","39718","57327"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1350501","2010","PM2.5","WHO_2021_AQG_Scen_Base","392","11.3","11.3","349","267","391","4097","3122","4576"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17836054","2010","PM2.5","WHO_2021_AQG_Scen_Base","4002","19.6","19.5","17769","13662","19758","187636","144230","208556"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1000527","2010","PM2.5","WHO_2021_AQG_Scen_Base","181","17.9","17.9","1139","872","1267","13720","10515","15271"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","90773","2010","PM2.5","WHO_2021_AQG_Scen_Base","28","16.2","16.2","51","39","57","613","469","683"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","698661","2010","PM2.5","WHO_2021_AQG_Scen_Base","138","17.3","17.4","828","634","921","9817","7520","10931"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","255823","2010","PM2.5","WHO_2021_AQG_Scen_Base","57","13.9","14.0","118","90","132","1486","1135","1657"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7762113","2010","PM2.5","WHO_2021_AQG_Scen_Base","1885","17.9","17.9","5708","4368","6349","66205","50726","73696"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11370771","2010","PM2.5","WHO_2021_AQG_Scen_Base","2178","29.0","29.0","17528","13584","19406","228109","176782","252535"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3367956","2010","PM2.5","WHO_2021_AQG_Scen_Base","712","11.3","11.2","1483","1129","1655","16517","12578","18441"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6559622","2010","PM2.5","WHO_2021_AQG_Scen_Base","849","18.8","19.3","8190","6291","9113","98818","75889","109881"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2778784","2010","PM2.5","WHO_2021_AQG_Scen_Base","778","8.3","8.5","665","504","743","6477","4921","7238"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","296739","2010","PM2.5","WHO_2021_AQG_Scen_Base","76","20.6","20.6","276","212","307","3424","2630","3807"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","747534","2010","PM2.5","WHO_2021_AQG_Scen_Base","159","22.1","22.1","830","639","922","9947","7650","11051"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2495527","2014","PM2.5","WHO_2021_AQG_Scen_Base","446","14.2","14.5","1516","1159","1690","17094","13059","19059"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3243878","2014","PM2.5","WHO_2021_AQG_Scen_Base","745","13.7","14.1","1906","1457","2125","21535","16447","24009"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2837485","2014","PM2.5","WHO_2021_AQG_Scen_Base","384","26.7","27.1","6406","4954","7100","69212","53502","76714"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","489550","2014","PM2.5","WHO_2021_AQG_Scen_Base","131","17.3","17.3","262","200","292","2884","2209","3212"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2539901","2014","PM2.5","WHO_2021_AQG_Scen_Base","536","19.4","19.6","2532","1944","2814","29264","22471","32541"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","24944888","2014","PM2.5","WHO_2021_AQG_Scen_Base","6769","14.0","14.2","17439","13321","19434","195088","149018","217514"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1550073","2014","PM2.5","WHO_2021_AQG_Scen_Base","400","11.6","11.6","660","502","737","7571","5767","8451"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","506012","2014","PM2.5","WHO_2021_AQG_Scen_Base","103","9.0","9.0","166","127","186","2008","1526","2244"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22859671","2014","PM2.5","WHO_2021_AQG_Scen_Base","2439","11.0","11.1","8458","6446","9439","97690","74433","109066"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1237204","2014","PM2.5","WHO_2021_AQG_Scen_Base","427","8.1","8.2","264","202","294","2952","2241","3300"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22293595","2014","PM2.5","WHO_2021_AQG_Scen_Base","4382","12.2","12.5","9781","7457","10911","123011","93808","137240"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5008730","2014","PM2.5","WHO_2021_AQG_Scen_Base","557","17.3","17.8","4693","3599","5220","51124","39204","56888"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1083669","2014","PM2.5","WHO_2021_AQG_Scen_Base","195","16.5","16.5","1026","785","1143","11099","8501","12359"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2724534","2014","PM2.5","WHO_2021_AQG_Scen_Base","577","17.8","17.8","3088","2367","3439","36586","28032","40728"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1376750","2014","PM2.5","WHO_2021_AQG_Scen_Base","392","10.2","10.2","314","238","351","3660","2785","4088"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","18315934","2014","PM2.5","WHO_2021_AQG_Scen_Base","4002","17.5","17.4","15672","12019","17442","168273","129031","187258"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","937315","2014","PM2.5","WHO_2021_AQG_Scen_Base","181","16.3","16.4","976","747","1088","11576","8857","12895"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","99382","2014","PM2.5","WHO_2021_AQG_Scen_Base","28","12.3","12.3","35","27","39","438","334","489"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","659439","2014","PM2.5","WHO_2021_AQG_Scen_Base","138","16.1","16.4","726","556","810","8680","6643","9671"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","265337","2014","PM2.5","WHO_2021_AQG_Scen_Base","57","12.0","12.0","101","77","113","1212","924","1353"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7881198","2014","PM2.5","WHO_2021_AQG_Scen_Base","1885","13.8","13.9","4051","3092","4518","46403","35425","51749"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11369262","2014","PM2.5","WHO_2021_AQG_Scen_Base","2178","25.1","25.2","15060","11630","16708","198986","153576","220722"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3321394","2014","PM2.5","WHO_2021_AQG_Scen_Base","712","9.6","9.6","1109","842","1237","12156","9244","13583"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6447340","2014","PM2.5","WHO_2021_AQG_Scen_Base","849","18.3","18.6","7729","5929","8601","89658","68794","99736"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2869278","2014","PM2.5","WHO_2021_AQG_Scen_Base","778","7.7","7.8","532","403","595","5240","3984","5859"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","298783","2014","PM2.5","WHO_2021_AQG_Scen_Base","76","16.5","16.7","218","167","243","2598","1988","2893"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","751077","2014","PM2.5","WHO_2021_AQG_Scen_Base","159","18.8","19.0","673","514","747","8365","6418","9307"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2429586","2007","PM2.5","WHO_2021_AQG_Scen_Base","446","16.9","17.3","1831","1404","2040","20550","15738","22881"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3070875","2007","PM2.5","WHO_2021_AQG_Scen_Base","745","15.9","16.1","2194","1676","2445","24930","19070","27772"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2965540","2007","PM2.5","WHO_2021_AQG_Scen_Base","384","30.5","30.9","7640","5924","8455","81853","63487","90580"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","432445","2007","PM2.5","WHO_2021_AQG_Scen_Base","131","23.7","23.7","377","291","420","4021","3097","4464"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2477522","2007","PM2.5","WHO_2021_AQG_Scen_Base","536","17.6","17.8","2192","1682","2442","25473","19526","28352"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25422206","2007","PM2.5","WHO_2021_AQG_Scen_Base","6769","13.9","14.0","16187","12352","18047","187796","143375","209415"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1500450","2007","PM2.5","WHO_2021_AQG_Scen_Base","400","12.1","12.1","771","586","859","8566","6528","9558"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","516435","2007","PM2.5","WHO_2021_AQG_Scen_Base","103","10.8","10.8","265","202","297","3226","2456","3604"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22010634","2007","PM2.5","WHO_2021_AQG_Scen_Base","2439","17.7","17.9","16926","12971","18835","192225","147343","213951"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1197640","2007","PM2.5","WHO_2021_AQG_Scen_Base","427","9.9","9.8","373","284","417","4431","3370","4950"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21443942","2007","PM2.5","WHO_2021_AQG_Scen_Base","4382","15.4","15.7","12898","9865","14380","163525","125053","182209"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5058784","2007","PM2.5","WHO_2021_AQG_Scen_Base","557","22.2","22.2","5972","4594","6634","64569","49667","71742"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1100694","2007","PM2.5","WHO_2021_AQG_Scen_Base","195","20.2","20.2","1379","1059","1534","15016","11529","16698"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2776611","2007","PM2.5","WHO_2021_AQG_Scen_Base","577","19.7","19.7","3670","2817","4084","45374","34826","50469"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1288368","2007","PM2.5","WHO_2021_AQG_Scen_Base","392","6.8","6.8","106","80","117","1232","934","1378"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17544848","2007","PM2.5","WHO_2021_AQG_Scen_Base","4002","22.3","22.1","20065","15456","22287","212526","163658","236014"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1034922","2007","PM2.5","WHO_2021_AQG_Scen_Base","181","14.8","14.8","926","708","1032","11738","8968","13084"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","86094","2007","PM2.5","WHO_2021_AQG_Scen_Base","28","13.2","13.2","39","30","44","443","338","494"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","727764","2007","PM2.5","WHO_2021_AQG_Scen_Base","138","13.2","13.2","604","461","673","7133","5442","7957"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","250626","2007","PM2.5","WHO_2021_AQG_Scen_Base","57","17.6","17.6","169","129","188","2006","1536","2233"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7660494","2007","PM2.5","WHO_2021_AQG_Scen_Base","1885","16.4","16.5","4976","3806","5541","57449","43961","63994"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11401455","2007","PM2.5","WHO_2021_AQG_Scen_Base","2178","20.8","20.8","11808","9082","13127","153888","118324","171010"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3354934","2007","PM2.5","WHO_2021_AQG_Scen_Base","712","15.6","15.6","2434","1861","2714","27662","21151","30823"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6829767","2007","PM2.5","WHO_2021_AQG_Scen_Base","849","26.6","26.7","11679","9018","12944","140769","108713","156101"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2711128","2007","PM2.5","WHO_2021_AQG_Scen_Base","778","10.4","10.5","1055","803","1179","10174","7745","11363"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","291433","2007","PM2.5","WHO_2021_AQG_Scen_Base","76","18.6","18.6","240","184","267","2970","2277","3304"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","745147","2007","PM2.5","WHO_2021_AQG_Scen_Base","159","19.9","19.8","727","559","808","8771","6734","9752"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2456627","2011","PM2.5","WHO_2021_AQG_Scen_Base","446","20.5","21.6","2503","1926","2781","28708","22080","31898"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3191601","2011","PM2.5","WHO_2021_AQG_Scen_Base","745","18.1","18.4","2737","2095","3044","31390","24063","34938"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2885947","2011","PM2.5","WHO_2021_AQG_Scen_Base","384","36.9","37.6","9000","7019","9930","97788","76287","107910"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","479137","2011","PM2.5","WHO_2021_AQG_Scen_Base","131","24.2","24.2","396","305","439","4163","3208","4621"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2533698","2011","PM2.5","WHO_2021_AQG_Scen_Base","536","21.2","21.3","2844","2186","3161","33242","25572","36935"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","24776402","2011","PM2.5","WHO_2021_AQG_Scen_Base","6769","16.7","16.9","21945","16812","24438","248487","190247","276718"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1531725","2011","PM2.5","WHO_2021_AQG_Scen_Base","400","14.6","14.6","978","748","1090","11080","8463","12353"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","511334","2011","PM2.5","WHO_2021_AQG_Scen_Base","103","8.9","9.0","160","121","178","1974","1500","2206"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22935842","2011","PM2.5","WHO_2021_AQG_Scen_Base","2439","13.3","13.5","11430","8731","12757","133721","102061","149144"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1219955","2011","PM2.5","WHO_2021_AQG_Scen_Base","427","8.8","8.8","300","228","336","3471","2637","3879"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21893599","2011","PM2.5","WHO_2021_AQG_Scen_Base","4382","17.7","18.3","16412","12585","18259","210802","161626","234592"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5098841","2011","PM2.5","WHO_2021_AQG_Scen_Base","557","21.4","21.3","5756","4429","6395","62765","48278","69735"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1094653","2011","PM2.5","WHO_2021_AQG_Scen_Base","195","23.4","23.4","1607","1237","1786","17685","13616","19639"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2754426","2011","PM2.5","WHO_2021_AQG_Scen_Base","577","25.5","25.9","4954","3821","5494","60356","46582","66948"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1356870","2011","PM2.5","WHO_2021_AQG_Scen_Base","392","9.9","9.9","279","212","312","3270","2488","3653"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17888649","2011","PM2.5","WHO_2021_AQG_Scen_Base","4002","24.0","24.0","23043","17788","25545","243839","188306","270412"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","972062","2011","PM2.5","WHO_2021_AQG_Scen_Base","181","15.6","15.7","927","709","1034","11458","8762","12764"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","92540","2011","PM2.5","WHO_2021_AQG_Scen_Base","28","14.4","14.4","44","34","50","530","405","591"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","683537","2011","PM2.5","WHO_2021_AQG_Scen_Base","138","13.7","13.7","566","432","632","6941","5297","7741"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","256418","2011","PM2.5","WHO_2021_AQG_Scen_Base","57","15.8","15.9","154","118","172","1812","1386","2019"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7799960","2011","PM2.5","WHO_2021_AQG_Scen_Base","1885","17.7","17.8","5618","4306","6253","65903","50486","73364"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11382687","2011","PM2.5","WHO_2021_AQG_Scen_Base","2178","27.9","27.9","16706","12932","18505","221379","171355","245225"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3367717","2011","PM2.5","WHO_2021_AQG_Scen_Base","712","13.2","13.1","1894","1446","2113","22124","16879","24679"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6528709","2011","PM2.5","WHO_2021_AQG_Scen_Base","849","24.3","24.8","10771","8309","11953","126120","97298","139929"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2801066","2011","PM2.5","WHO_2021_AQG_Scen_Base","778","9.6","9.8","911","694","1017","8830","6720","9863"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","297204","2011","PM2.5","WHO_2021_AQG_Scen_Base","76","22.4","22.6","311","239","345","3790","2916","4210"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","747818","2011","PM2.5","WHO_2021_AQG_Scen_Base","159","25.6","25.8","964","744","1068","11866","9156","13164"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2620152","2021","PM2.5","WHO_2021_AQG_Scen_Base","446","11.3","11.3","1199","913","1339","12102","9217","13509"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3352370","2021","PM2.5","WHO_2021_AQG_Scen_Base","745","10.8","11.1","1580","1205","1767","14609","11125","16312"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2708595","2021","PM2.5","WHO_2021_AQG_Scen_Base","384","16.4","16.6","4856","3718","5410","44717","34227","49806"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","511235","2021","PM2.5","WHO_2021_AQG_Scen_Base","131","14.9","15.0","288","220","322","3046","2328","3396"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2535656","2021","PM2.5","WHO_2021_AQG_Scen_Base","536","14.5","14.7","2311","1766","2576","23485","17951","26178"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25682425","2021","PM2.5","WHO_2021_AQG_Scen_Base","6769","10.1","10.2","11891","9050","13294","122500","93222","136812"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1608692","2021","PM2.5","WHO_2021_AQG_Scen_Base","400","8.3","8.2","354","269","395","3819","2900","4271"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","511491","2021","PM2.5","WHO_2021_AQG_Scen_Base","103","6.5","6.5","67","50","75","773","586","865"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","23295358","2021","PM2.5","WHO_2021_AQG_Scen_Base","2439","10.1","10.3","8474","6450","9456","92398","70339","103186"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1255934","2021","PM2.5","WHO_2021_AQG_Scen_Base","427","6.0","6.0","98","73","109","1023","775","1146"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22796061","2021","PM2.5","WHO_2021_AQG_Scen_Base","4382","10.5","10.8","9196","7005","10267","98136","74719","109578"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","4894970","2021","PM2.5","WHO_2021_AQG_Scen_Base","557","17.5","18.1","5495","4212","6116","53943","41344","60040"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1029966","2021","PM2.5","WHO_2021_AQG_Scen_Base","195","16.2","16.5","1156","884","1287","11324","8670","12609"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2684098","2021","PM2.5","WHO_2021_AQG_Scen_Base","577","15.4","15.5","3207","2450","3572","34678","26514","38644"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1486132","2021","PM2.5","WHO_2021_AQG_Scen_Base","392","7.5","7.5","174","131","195","2075","1575","2322"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17849947","2021","PM2.5","WHO_2021_AQG_Scen_Base","4002","15.1","14.9","15687","12002","17479","139274","106551","155169"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","890254","2021","PM2.5","WHO_2021_AQG_Scen_Base","181","12.6","12.6","820","626","915","8317","6343","9283"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","114759","2021","PM2.5","WHO_2021_AQG_Scen_Base","28","7.7","7.7","16","12","18","181","137","202"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","623775","2021","PM2.5","WHO_2021_AQG_Scen_Base","138","13.4","13.5","685","522","764","6969","5319","7774"
