City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","83390","2005","NO2","WHO_2021_AQG_Scen_Base","28","33.5","34.1","28","14","54","325","165","629"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","741235","2005","NO2","WHO_2021_AQG_Scen_Base","138","22.7","24.1","267","136","523","3178","1610","6198"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","248805","2005","NO2","WHO_2021_AQG_Scen_Base","57","21.8","23.8","50","25","97","530","268","1035"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7635924","2005","NO2","WHO_2021_AQG_Scen_Base","1885","31.4","32.7","2642","1343","5116","29709","15102","57509"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11415909","2005","NO2","WHO_2021_AQG_Scen_Base","2178","23.0","24.3","2814","1426","5487","36015","18245","70218"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3342853","2005","NO2","WHO_2021_AQG_Scen_Base","712","27.3","29.4","1213","615","2351","13389","6799","25994"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6911176","2005","NO2","WHO_2021_AQG_Scen_Base","849","24.9","27.7","2698","1372","5232","30616","15546","59382"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2680823","2005","NO2","WHO_2021_AQG_Scen_Base","778","18.7","20.0","505","255","988","4935","2493","9668"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","289579","2005","NO2","WHO_2021_AQG_Scen_Base","76","27.9","29.3","91","46","177","1065","540","2070"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","745077","2005","NO2","WHO_2021_AQG_Scen_Base","159","22.8","23.8","181","90","350","2094","1060","4090"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2495527","2014","NO2","WHO_2021_AQG_Scen_Base","446","26.0","28.5","771","391","1500","8703","4413","16919"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3243878","2014","NO2","WHO_2021_AQG_Scen_Base","745","26.1","28.5","1014","515","1968","11449","5806","22249"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2837485","2014","NO2","WHO_2021_AQG_Scen_Base","384","20.5","22.1","967","492","1889","10450","5288","20418"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","489550","2014","NO2","WHO_2021_AQG_Scen_Base","131","17.4","18.0","46","23","89","502","252","985"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2539901","2014","NO2","WHO_2021_AQG_Scen_Base","536","21.9","23.0","608","309","1187","7023","3555","13724"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","24944888","2014","NO2","WHO_2021_AQG_Scen_Base","6769","24.8","26.4","8168","4142","15906","91438","46333","178019"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1550073","2014","NO2","WHO_2021_AQG_Scen_Base","400","17.1","18.9","233","117","457","2680","1355","5252"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","506012","2014","NO2","WHO_2021_AQG_Scen_Base","103","13.0","13.7","41","21","83","507","255","999"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22859671","2014","NO2","WHO_2021_AQG_Scen_Base","2439","21.9","25.8","5670","2875","11030","65511","33231","127358"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1237204","2014","NO2","WHO_2021_AQG_Scen_Base","427","15.2","16.0","130","65","254","1445","728","2840"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22293595","2014","NO2","WHO_2021_AQG_Scen_Base","4382","23.9","28.0","6070","3083","11766","76333","38775","148019"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5008730","2014","NO2","WHO_2021_AQG_Scen_Base","557","20.7","24.0","1378","700","2688","15047","7627","29298"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1083669","2014","NO2","WHO_2021_AQG_Scen_Base","195","22.9","24.0","333","169","649","3596","1821","7022"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2724534","2014","NO2","WHO_2021_AQG_Scen_Base","577","23.7","25.3","982","498","1912","11638","5896","22661"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1376750","2014","NO2","WHO_2021_AQG_Scen_Base","392","12.4","13.2","57","28","112","657","332","1294"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","18315934","2014","NO2","WHO_2021_AQG_Scen_Base","4002","29.3","31.8","7253","3686","14021","77865","39605","150530"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","937315","2014","NO2","WHO_2021_AQG_Scen_Base","181","17.4","18.3","188","96","370","2234","1128","4384"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","99382","2014","NO2","WHO_2021_AQG_Scen_Base","28","25.1","25.8","20","10","38","247","125","482"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","659439","2014","NO2","WHO_2021_AQG_Scen_Base","138","17.8","18.9","150","77","295","1798","908","3529"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","265337","2014","NO2","WHO_2021_AQG_Scen_Base","57","17.3","18.2","31","16","61","373","188","733"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7881198","2014","NO2","WHO_2021_AQG_Scen_Base","1885","24.7","26.0","1903","966","3708","21812","11054","42494"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11369262","2014","NO2","WHO_2021_AQG_Scen_Base","2178","19.8","21.1","2282","1156","4470","30199","15271","59089"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3321394","2014","NO2","WHO_2021_AQG_Scen_Base","712","20.8","22.1","751","380","1467","8246","4170","16115"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6447340","2014","NO2","WHO_2021_AQG_Scen_Base","849","21.3","23.4","2044","1033","3987","23727","12015","46282"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2869278","2014","NO2","WHO_2021_AQG_Scen_Base","778","14.4","15.8","286","145","564","2829","1427","5563"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","298783","2014","NO2","WHO_2021_AQG_Scen_Base","76","22.1","23.5","67","33","131","798","403","1558"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","751077","2014","NO2","WHO_2021_AQG_Scen_Base","159","19.4","20.2","132","66","258","1643","830","3220"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2449723","2010","NO2","WHO_2021_AQG_Scen_Base","446","29.1","32.0","899","454","1743","10189","5178","19744"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3144965","2010","NO2","WHO_2021_AQG_Scen_Base","745","30.8","33.5","1279","650","2475","14489","7367","28029"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2906441","2010","NO2","WHO_2021_AQG_Scen_Base","384","25.0","26.8","1350","684","2624","14358","7276","27940"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","467377","2010","NO2","WHO_2021_AQG_Scen_Base","131","19.3","20.4","55","27","106","624","315","1220"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2527742","2010","NO2","WHO_2021_AQG_Scen_Base","536","25.1","26.4","770","392","1502","8962","4542","17456"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25264126","2010","NO2","WHO_2021_AQG_Scen_Base","6769","28.0","29.8","9696","4914","18823","110944","56317","215315"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1524594","2010","NO2","WHO_2021_AQG_Scen_Base","400","18.8","20.5","294","148","575","3285","1661","6435"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","512730","2010","NO2","WHO_2021_AQG_Scen_Base","103","15.0","16.0","66","33","129","781","393","1536"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22847104","2010","NO2","WHO_2021_AQG_Scen_Base","2439","25.5","29.9","6853","3485","13272","80485","40911","155829"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1214543","2010","NO2","WHO_2021_AQG_Scen_Base","427","18.5","19.3","192","98","378","2246","1133","4405"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21785655","2010","NO2","WHO_2021_AQG_Scen_Base","4382","27.7","31.8","7185","3655","13893","90718","46139","175438"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5096959","2010","NO2","WHO_2021_AQG_Scen_Base","557","25.4","29.0","1767","897","3432","19244","9772","37348"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1097969","2010","NO2","WHO_2021_AQG_Scen_Base","195","25.1","26.5","398","202","777","4356","2208","8484"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2762313","2010","NO2","WHO_2021_AQG_Scen_Base","577","27.0","28.9","1244","630","2408","15033","7632","29168"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1350501","2010","NO2","WHO_2021_AQG_Scen_Base","392","22.7","24.3","205","104","401","2409","1221","4702"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17836054","2010","NO2","WHO_2021_AQG_Scen_Base","4002","32.3","35.0","8141","4150","15684","85966","43808","165612"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1000527","2010","NO2","WHO_2021_AQG_Scen_Base","181","17.3","18.3","197","100","388","2373","1199","4659"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","90773","2010","NO2","WHO_2021_AQG_Scen_Base","28","28.8","29.7","24","12","46","284","144","553"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","698661","2010","NO2","WHO_2021_AQG_Scen_Base","138","22.1","23.4","238","121","467","2834","1434","5537"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","255823","2010","NO2","WHO_2021_AQG_Scen_Base","57","15.2","16.8","24","12","47","300","151","589"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7762113","2010","NO2","WHO_2021_AQG_Scen_Base","1885","28.6","29.8","2315","1176","4495","26886","13642","52205"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11370771","2010","NO2","WHO_2021_AQG_Scen_Base","2178","23.0","24.3","2923","1486","5710","38076","19278","74272"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3367956","2010","NO2","WHO_2021_AQG_Scen_Base","712","25.4","27.2","1076","546","2097","11992","6082","23338"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6559622","2010","NO2","WHO_2021_AQG_Scen_Base","849","26.6","29.3","2948","1496","5713","35540","18054","68886"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2778784","2010","NO2","WHO_2021_AQG_Scen_Base","778","19.0","20.5","521","262","1018","5072","2562","9930"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","296739","2010","NO2","WHO_2021_AQG_Scen_Base","76","26.0","27.6","84","43","163","1035","525","2013"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","747534","2010","NO2","WHO_2021_AQG_Scen_Base","159","23.2","24.1","186","93","362","2224","1124","4342"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2518154","2015","NO2","WHO_2021_AQG_Scen_Base","446","26.3","27.4","771","391","1501","8096","4103","15761"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3260255","2015","NO2","WHO_2021_AQG_Scen_Base","745","26.1","28.4","1065","542","2072","11406","5787","22166"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2820457","2015","NO2","WHO_2021_AQG_Scen_Base","384","20.1","21.3","917","464","1794","9641","4875","18856"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","483278","2015","NO2","WHO_2021_AQG_Scen_Base","131","19.2","19.9","61","31","119","615","311","1207"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2546149","2015","NO2","WHO_2021_AQG_Scen_Base","536","21.4","22.4","609","311","1195","6751","3412","13198"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25077724","2015","NO2","WHO_2021_AQG_Scen_Base","6769","25.0","26.5","8728","4418","16998","92849","47058","180761"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1559021","2015","NO2","WHO_2021_AQG_Scen_Base","400","17.3","18.2","224","113","439","2486","1256","4881"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","505646","2015","NO2","WHO_2021_AQG_Scen_Base","103","12.4","13.2","35","19","71","431","217","850"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22828895","2015","NO2","WHO_2021_AQG_Scen_Base","2439","24.0","27.6","6764","3437","13133","72800","36965","141220"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1241852","2015","NO2","WHO_2021_AQG_Scen_Base","427","14.1","15.2","112","57","222","1238","624","2436"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22392050","2015","NO2","WHO_2021_AQG_Scen_Base","4382","24.3","28.7","6674","3395","12930","78677","39985","152355"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","4977195","2015","NO2","WHO_2021_AQG_Scen_Base","557","24.9","28.0","1872","949","3629","19171","9734","37212"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1078184","2015","NO2","WHO_2021_AQG_Scen_Base","195","24.8","25.8","401","204","781","4092","2072","7975"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2718525","2015","NO2","WHO_2021_AQG_Scen_Base","577","24.9","26.6","1107","563","2153","12554","6368","24410"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1388559","2015","NO2","WHO_2021_AQG_Scen_Base","392","13.3","14.0","71","35","136","787","396","1547"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","18319844","2015","NO2","WHO_2021_AQG_Scen_Base","4002","33.5","36.0","9329","4756","17956","92378","47092","177802"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","930242","2015","NO2","WHO_2021_AQG_Scen_Base","181","17.6","18.3","197","99","387","2244","1133","4403"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","101783","2015","NO2","WHO_2021_AQG_Scen_Base","28","26.4","27.0","22","11","43","256","130","498"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","654375","2015","NO2","WHO_2021_AQG_Scen_Base","138","19.9","20.7","181","92","354","2125","1074","4155"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","271681","2015","NO2","WHO_2021_AQG_Scen_Base","57","17.8","18.7","35","17","68","389","197","764"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7914661","2015","NO2","WHO_2021_AQG_Scen_Base","1885","23.5","24.7","1856","936","3618","20231","10250","39452"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11365602","2015","NO2","WHO_2021_AQG_Scen_Base","2178","20.0","21.1","2416","1220","4726","30774","15555","60230"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3304679","2015","NO2","WHO_2021_AQG_Scen_Base","712","22.5","24.0","896","454","1746","9397","4760","18324"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6422558","2015","NO2","WHO_2021_AQG_Scen_Base","849","19.9","21.4","1798","909","3517","20240","10235","39570"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2899768","2015","NO2","WHO_2021_AQG_Scen_Base","778","15.5","16.8","343","173","673","3270","1652","6422"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","299043","2015","NO2","WHO_2021_AQG_Scen_Base","76","27.3","28.6","96","49","187","1124","570","2185"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","751826","2015","NO2","WHO_2021_AQG_Scen_Base","159","23.5","24.1","189","95","369","2282","1155","4452"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2587771","2018","NO2","WHO_2021_AQG_Scen_Base","446","22.9","25.8","710","359","1383","7403","3750","14421"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3307057","2018","NO2","WHO_2021_AQG_Scen_Base","745","24.1","26.7","967","492","1882","10293","5216","20035"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2760865","2018","NO2","WHO_2021_AQG_Scen_Base","384","22.9","24.4","1156","588","2259","12454","6303","24304"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","493107","2018","NO2","WHO_2021_AQG_Scen_Base","131","28.3","28.8","113","58","218","1234","625","2398"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2563492","2018","NO2","WHO_2021_AQG_Scen_Base","536","20.0","21.3","568","287","1107","6289","3179","12308"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25570243","2018","NO2","WHO_2021_AQG_Scen_Base","6769","23.0","24.6","7993","4047","15598","82845","41956","161556"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1592480","2018","NO2","WHO_2021_AQG_Scen_Base","400","13.5","15.3","151","76","296","1600","807","3147"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","507286","2018","NO2","WHO_2021_AQG_Scen_Base","103","9.7","10.6","11","6","23","136","69","270"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22931559","2018","NO2","WHO_2021_AQG_Scen_Base","2439","21.2","25.6","6052","3068","11763","65592","33276","127476"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1251244","2018","NO2","WHO_2021_AQG_Scen_Base","427","13.6","14.3","100","49","196","1056","532","2081"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22583544","2018","NO2","WHO_2021_AQG_Scen_Base","4382","20.9","25.1","5550","2821","10793","64385","32669","125124"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","4923630","2018","NO2","WHO_2021_AQG_Scen_Base","557","26.6","30.9","2138","1086","4138","22376","11375","43326"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1047609","2018","NO2","WHO_2021_AQG_Scen_Base","195","19.0","20.2","253","127","494","2612","1320","5117"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2697230","2018","NO2","WHO_2021_AQG_Scen_Base","577","22.1","24.1","946","481","1841","10787","5463","21041"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1433906","2018","NO2","WHO_2021_AQG_Scen_Base","392","17.4","18.5","146","75","286","1726","871","3383"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","18225936","2018","NO2","WHO_2021_AQG_Scen_Base","4002","25.2","27.9","6319","3213","12269","63828","32406","123847"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","894464","2018","NO2","WHO_2021_AQG_Scen_Base","181","16.6","17.5","171","87","337","1916","967","3765"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","108842","2018","NO2","WHO_2021_AQG_Scen_Base","28","26.0","26.7","24","12","46","275","139","535"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","637335","2018","NO2","WHO_2021_AQG_Scen_Base","138","18.5","19.5","166","84","326","1898","959","3719"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","293931","2018","NO2","WHO_2021_AQG_Scen_Base","57","11.4","12.5","12","6","24","144","73","284"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","8045957","2018","NO2","WHO_2021_AQG_Scen_Base","1885","22.5","23.6","1779","899","3470","18902","9563","36928"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11356956","2018","NO2","WHO_2021_AQG_Scen_Base","2178","20.4","21.8","2682","1359","5250","33505","16943","65511"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3277985","2018","NO2","WHO_2021_AQG_Scen_Base","712","21.6","23.6","906","459","1767","9402","4759","18342"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6313580","2018","NO2","WHO_2021_AQG_Scen_Base","849","24.9","27.7","2790","1417","5424","32246","16363","62644"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","3010700","2018","NO2","WHO_2021_AQG_Scen_Base","778","11.3","12.7","152","75","301","1455","733","2867"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","299624","2018","NO2","WHO_2021_AQG_Scen_Base","76","21.4","22.8","68","34","133","776","392","1516"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","754846","2018","NO2","WHO_2021_AQG_Scen_Base","159","19.1","20.1","139","69","271","1711","864","3353"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2444845","2009","NO2","WHO_2021_AQG_Scen_Base","446","27.8","30.3","835","422","1616","9406","4776","18256"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3119777","2009","NO2","WHO_2021_AQG_Scen_Base","745","30.0","33.0","1237","629","2393","14065","7153","27209"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2924206","2009","NO2","WHO_2021_AQG_Scen_Base","384","27.3","29.1","1501","761","2915","16703","8477","32447"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","454705","2009","NO2","WHO_2021_AQG_Scen_Base","131","23.9","24.4","77","40","150","879","445","1714"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2518971","2009","NO2","WHO_2021_AQG_Scen_Base","536","23.7","25.0","710","358","1381","8119","4109","15838"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25325838","2009","NO2","WHO_2021_AQG_Scen_Base","6769","28.3","29.9","9709","4919","18829","110674","56190","214719"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1518179","2009","NO2","WHO_2021_AQG_Scen_Base","400","18.6","20.0","280","142","547","3104","1566","6081"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","513672","2009","NO2","WHO_2021_AQG_Scen_Base","103","13.9","14.9","55","28","106","653","330","1288"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22725526","2009","NO2","WHO_2021_AQG_Scen_Base","2439","26.1","30.5","7117","3620","13770","82429","41900","159501"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1208843","2009","NO2","WHO_2021_AQG_Scen_Base","427","17.2","18.1","165","84","324","1947","983","3822"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21681612","2009","NO2","WHO_2021_AQG_Scen_Base","4382","27.6","32.1","7213","3671","13941","90697","46152","175253"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5085708","2009","NO2","WHO_2021_AQG_Scen_Base","557","32.2","36.7","2431","1242","4686","26843","13682","51687"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1099741","2009","NO2","WHO_2021_AQG_Scen_Base","195","23.2","24.5","354","178","692","3874","1962","7561"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2766906","2009","NO2","WHO_2021_AQG_Scen_Base","577","24.7","26.5","1082","550","2107","13403","6793","26084"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1342159","2009","NO2","WHO_2021_AQG_Scen_Base","392","21.6","22.9","195","98","381","2348","1189","4585"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17778925","2009","NO2","WHO_2021_AQG_Scen_Base","4002","35.4","38.2","9201","4692","17690","96368","49171","185238"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1013865","2009","NO2","WHO_2021_AQG_Scen_Base","181","15.8","16.7","157","79","308","1930","972","3795"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","89225","2009","NO2","WHO_2021_AQG_Scen_Base","28","29.9","30.6","24","12","47","294","149","570"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","712606","2009","NO2","WHO_2021_AQG_Scen_Base","138","18.7","19.7","172","88","338","2082","1052","4075"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","253907","2009","NO2","WHO_2021_AQG_Scen_Base","57","14.0","15.1","19","10","38","222","112","436"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7720338","2009","NO2","WHO_2021_AQG_Scen_Base","1885","28.9","30.2","2320","1179","4505","27176","13794","52738"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11404557","2009","NO2","WHO_2021_AQG_Scen_Base","2178","21.8","23.2","2727","1384","5332","35101","17762","68523"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3364621","2009","NO2","WHO_2021_AQG_Scen_Base","712","25.5","27.5","1072","544","2087","12109","6142","23549"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6606679","2009","NO2","WHO_2021_AQG_Scen_Base","849","26.6","29.2","2898","1471","5629","36566","18561","70984"
