City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11370771","2010","O3","WHO_2021_AQG_Scen_Base","2178","2936.0","2874.4","360","278","434","4894","3882","5923"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3367956","2010","O3","WHO_2021_AQG_Scen_Base","712","4247.2","4317.4","164","129","197","1907","1511","2304"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6559622","2010","O3","WHO_2021_AQG_Scen_Base","849","2223.4","2171.3","205","160","250","2649","2094","3202"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2778784","2010","O3","WHO_2021_AQG_Scen_Base","778","1844.1","1830.2","57","43","63","561","442","679"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","296739","2010","O3","WHO_2021_AQG_Scen_Base","76","5380.9","5124.4","15","11","18","188","149","227"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","747534","2010","O3","WHO_2021_AQG_Scen_Base","159","4576.1","4539.7","37","28","45","462","368","560"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2456627","2011","O3","WHO_2021_AQG_Scen_Base","446","5108.4","5224.5","129","102","156","1557","1232","1883"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2495527","2014","O3","WHO_2021_AQG_Scen_Base","446","3981.8","4031.1","103","81","123","1205","953","1455"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3243878","2014","O3","WHO_2021_AQG_Scen_Base","745","2240.9","2222.7","73","57","89","876","694","1058"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2837485","2014","O3","WHO_2021_AQG_Scen_Base","384","2060.4","2005.4","97","78","119","1110","874","1339"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","489550","2014","O3","WHO_2021_AQG_Scen_Base","131","4863.5","4863.4","17","13","20","192","152","233"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2539901","2014","O3","WHO_2021_AQG_Scen_Base","536","3594.7","3569.3","99","81","125","1206","956","1460"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","24944888","2014","O3","WHO_2021_AQG_Scen_Base","6769","3052.5","3077.2","924","726","1117","10746","8502","12983"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1550073","2014","O3","WHO_2021_AQG_Scen_Base","400","2474.3","2448.5","39","32","47","466","369","564"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","506012","2014","O3","WHO_2021_AQG_Scen_Base","103","1910.8","1938.3","13","10","15","159","126","192"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22859671","2014","O3","WHO_2021_AQG_Scen_Base","2439","5369.1","5361.7","1171","922","1419","14032","11103","16953"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1237204","2014","O3","WHO_2021_AQG_Scen_Base","427","1577.3","1577.6","21","17","25","236","187","286"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22293595","2014","O3","WHO_2021_AQG_Scen_Base","4382","3519.0","3406.7","708","554","855","9357","7400","11304"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5008730","2014","O3","WHO_2021_AQG_Scen_Base","557","6269.8","6285.0","372","295","449","4212","3333","5084"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1083669","2014","O3","WHO_2021_AQG_Scen_Base","195","4150.9","4116.3","60","47","71","666","526","805"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2724534","2014","O3","WHO_2021_AQG_Scen_Base","577","3431.0","3386.9","131","105","161","1615","1280","1953"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1205329","2014","O3","WHO_2021_AQG_Scen_Base","347","256.3","190.3","1","1","2","21","15","25"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","18315934","2014","O3","WHO_2021_AQG_Scen_Base","4002","5633.6","5481.7","1118","882","1343","12357","9786","14934"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","937315","2014","O3","WHO_2021_AQG_Scen_Base","181","2352.4","2358.1","34","26","39","400","316","484"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","99382","2014","O3","WHO_2021_AQG_Scen_Base","28","2691.0","2687.6","2","2","2","27","21","33"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","659439","2014","O3","WHO_2021_AQG_Scen_Base","138","2183.2","2124.2","22","17","26","271","214","327"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","265337","2014","O3","WHO_2021_AQG_Scen_Base","57","6946.6","6883.5","16","12","19","191","151","231"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7881198","2014","O3","WHO_2021_AQG_Scen_Base","1885","2196.8","2171.4","158","123","188","1895","1504","2299"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11369262","2014","O3","WHO_2021_AQG_Scen_Base","2178","3311.6","3281.5","407","327","491","5638","4461","6811"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3321394","2014","O3","WHO_2021_AQG_Scen_Base","712","3324.2","3445.1","129","102","155","1466","1162","1771"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6447340","2014","O3","WHO_2021_AQG_Scen_Base","849","1132.1","1023.1","97","76","117","1170","926","1415"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2869278","2014","O3","WHO_2021_AQG_Scen_Base","778","2238.6","2247.8","67","51","79","679","538","821"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","298783","2014","O3","WHO_2021_AQG_Scen_Base","76","4504.1","4331.8","13","11","16","158","126","191"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","751077","2014","O3","WHO_2021_AQG_Scen_Base","159","4397.5","4344.6","34","26","41","448","355","542"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2518154","2015","O3","WHO_2021_AQG_Scen_Base","446","5815.1","5912.1","159","126","192","1733","1374","2095"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3049654","2006","O3","WHO_2021_AQG_Scen_Base","745","3850.6","3871.9","126","99","151","1455","1153","1758"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2987742","2006","O3","WHO_2021_AQG_Scen_Base","384","3863.2","3754.5","190","150","230","2211","1748","2673"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","408121","2006","O3","WHO_2021_AQG_Scen_Base","126","5081.1","5089.3","15","12","19","170","135","205"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2470116","2006","O3","WHO_2021_AQG_Scen_Base","536","5611.7","5563.9","153","123","188","1846","1462","2229"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25460172","2006","O3","WHO_2021_AQG_Scen_Base","6769","4563.4","4571.2","1296","1023","1571","15650","12390","18912"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1495043","2006","O3","WHO_2021_AQG_Scen_Base","400","3254.0","3187.1","53","43","65","614","486","741"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","519426","2006","O3","WHO_2021_AQG_Scen_Base","103","3281.2","3295.3","24","18","28","295","233","357"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","21629874","2006","O3","WHO_2021_AQG_Scen_Base","2439","5560.9","5427.6","1109","878","1342","13635","10793","16469"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1192790","2006","O3","WHO_2021_AQG_Scen_Base","427","2726.2","2697.3","32","25","38","395","314","477"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21303965","2006","O3","WHO_2021_AQG_Scen_Base","4382","4721.3","4579.8","880","702","1071","11877","9400","14352"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5044440","2006","O3","WHO_2021_AQG_Scen_Base","557","6502.9","6370.8","350","277","422","4033","3192","4871"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1100430","2006","O3","WHO_2021_AQG_Scen_Base","195","6569.2","6536.5","93","73","112","1090","863","1316"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2779487","2006","O3","WHO_2021_AQG_Scen_Base","577","5076.4","5013.1","201","158","243","2600","2060","3142"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1249196","2006","O3","WHO_2021_AQG_Scen_Base","392","1969.5","1924.7","18","15","22","223","177","270"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17496770","2006","O3","WHO_2021_AQG_Scen_Base","4002","8213.8","8039.3","1514","1197","1834","17069","13520","20623"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1047613","2006","O3","WHO_2021_AQG_Scen_Base","181","4119.0","4108.0","61","50","75","808","641","977"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","84810","2006","O3","WHO_2021_AQG_Scen_Base","28","4950.7","4952.6","4","3","4","45","36","54"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","734037","2006","O3","WHO_2021_AQG_Scen_Base","138","3156.7","3039.6","36","28","42","459","363","555"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","250245","2006","O3","WHO_2021_AQG_Scen_Base","57","7761.1","7732.3","17","14","21","197","156","238"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7649360","2006","O3","WHO_2021_AQG_Scen_Base","1885","3161.7","3090.8","220","171","266","2636","2089","3187"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11410892","2006","O3","WHO_2021_AQG_Scen_Base","2178","4928.2","4861.1","588","464","706","8138","6440","9831"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3348368","2006","O3","WHO_2021_AQG_Scen_Base","712","4262.6","4214.0","153","122","186","1892","1501","2287"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6870659","2006","O3","WHO_2021_AQG_Scen_Base","849","3983.9","3832.6","356","280","433","4576","3620","5528"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2691640","2006","O3","WHO_2021_AQG_Scen_Base","778","3225.9","3173.2","96","77","116","982","776","1186"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","290415","2006","O3","WHO_2021_AQG_Scen_Base","76","6664.2","6446.3","18","14","22","233","185","282"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","745112","2006","O3","WHO_2021_AQG_Scen_Base","159","5955.8","5932.9","48","37","57","600","475","725"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2429586","2007","O3","WHO_2021_AQG_Scen_Base","446","5673.0","5810.1","138","111","170","1657","1311","2001"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3070875","2007","O3","WHO_2021_AQG_Scen_Base","745","2191.0","2129.7","67","52","81","813","644","981"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2587771","2018","O3","WHO_2021_AQG_Scen_Base","446","6389.7","6470.4","175","139","214","1907","1508","2302"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3307057","2018","O3","WHO_2021_AQG_Scen_Base","745","3996.6","3804.7","134","105","160","1490","1180","1805"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2760865","2018","O3","WHO_2021_AQG_Scen_Base","384","3267.8","3168.0","153","121","186","1727","1368","2088"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","493107","2018","O3","WHO_2021_AQG_Scen_Base","131","6284.3","6266.0","23","19","27","260","205","313"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2563492","2018","O3","WHO_2021_AQG_Scen_Base","536","6690.9","6647.0","202","159","242","2306","1826","2786"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25570243","2018","O3","WHO_2021_AQG_Scen_Base","6769","5314.1","5295.5","1745","1384","2117","18778","14864","22686"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1592480","2018","O3","WHO_2021_AQG_Scen_Base","400","3630.7","3588.4","62","49","75","683","540","824"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","507286","2018","O3","WHO_2021_AQG_Scen_Base","103","2621.7","2598.4","17","14","21","207","164","250"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22931559","2018","O3","WHO_2021_AQG_Scen_Base","2439","5662.4","5505.1","1297","1027","1571","14547","11516","17572"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1251244","2018","O3","WHO_2021_AQG_Scen_Base","427","2158.5","2170.8","29","23","36","326","256","391"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22583544","2018","O3","WHO_2021_AQG_Scen_Base","4382","4910.2","4668.5","1050","831","1268","12845","10173","15526"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","4923630","2018","O3","WHO_2021_AQG_Scen_Base","557","7177.2","6952.6","433","344","521","4666","3694","5634"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1047609","2018","O3","WHO_2021_AQG_Scen_Base","195","6439.9","6465.9","96","76","116","1028","815","1242"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2697230","2018","O3","WHO_2021_AQG_Scen_Base","577","5735.6","5643.6","231","181","278","2687","2129","3251"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1433906","2018","O3","WHO_2021_AQG_Scen_Base","392","2123.0","2066.9","21","17","26","270","214","325"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","18225936","2018","O3","WHO_2021_AQG_Scen_Base","4002","6560.1","6260.7","1342","1063","1624","14011","11092","16922"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","894464","2018","O3","WHO_2021_AQG_Scen_Base","181","2892.5","2856.0","40","31","48","454","359","551"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","108842","2018","O3","WHO_2021_AQG_Scen_Base","28","3837.6","3837.7","3","3","4","40","32","49"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","637335","2018","O3","WHO_2021_AQG_Scen_Base","138","2164.4","2118.4","22","18","27","264","209","318"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","293931","2018","O3","WHO_2021_AQG_Scen_Base","57","5222.3","5145.6","13","10","16","161","127","194"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","8045957","2018","O3","WHO_2021_AQG_Scen_Base","1885","3511.8","3412.9","271","215","325","3015","2385","3643"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11356956","2018","O3","WHO_2021_AQG_Scen_Base","2178","4777.2","4722.5","648","520","787","8463","6696","10223"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3277985","2018","O3","WHO_2021_AQG_Scen_Base","712","4087.6","4070.4","164","131","197","1766","1397","2136"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6313580","2018","O3","WHO_2021_AQG_Scen_Base","849","3248.8","3264.5","317","251","379","3800","3007","4592"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","3010700","2018","O3","WHO_2021_AQG_Scen_Base","778","3245.3","3249.4","98","78","119","983","779","1188"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","299624","2018","O3","WHO_2021_AQG_Scen_Base","76","5547.2","5415.4","17","14","21","203","161","246"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","754846","2018","O3","WHO_2021_AQG_Scen_Base","159","5882.3","5796.0","48","39","57","626","496","758"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2598479","2019","O3","WHO_2021_AQG_Scen_Base","446","5414.8","5446.1","147","116","177","1583","1256","1914"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3191601","2011","O3","WHO_2021_AQG_Scen_Base","745","2577.7","2545.1","85","66","100","1014","802","1226"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2885947","2011","O3","WHO_2021_AQG_Scen_Base","384","4224.7","4124.0","200","158","241","2301","1824","2784"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","479137","2011","O3","WHO_2021_AQG_Scen_Base","131","8358.5","8374.0","28","22","34","323","256","390"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2533698","2011","O3","WHO_2021_AQG_Scen_Base","536","4285.0","4235.0","120","96","145","1464","1158","1769"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","24776402","2011","O3","WHO_2021_AQG_Scen_Base","6769","3352.9","3362.4","997","786","1194","11694","9251","14139"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1531725","2011","O3","WHO_2021_AQG_Scen_Base","400","2673.0","2688.0","44","34","53","518","411","623"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","511334","2011","O3","WHO_2021_AQG_Scen_Base","103","2273.3","2283.6","15","11","18","186","148","226"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22935842","2011","O3","WHO_2021_AQG_Scen_Base","2439","5453.4","5377.1","1152","911","1390","14108","11168","17040"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1219955","2011","O3","WHO_2021_AQG_Scen_Base","427","1992.5","1973.4","24","21","29","295","233","356"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21893599","2011","O3","WHO_2021_AQG_Scen_Base","4382","4151.6","4025.6","804","637","974","10953","8668","13238"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5098841","2011","O3","WHO_2021_AQG_Scen_Base","557","9354.8","9433.5","543","433","655","6207","4917","7495"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1094653","2011","O3","WHO_2021_AQG_Scen_Base","195","5755.7","5692.4","82","66","99","940","744","1136"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2754426","2011","O3","WHO_2021_AQG_Scen_Base","577","5466.8","5422.4","213","168","260","2699","2136","3259"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1356870","2011","O3","WHO_2021_AQG_Scen_Base","392","930.1","912.3","9","6","10","106","84","128"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17888649","2011","O3","WHO_2021_AQG_Scen_Base","4002","7483.6","7166.6","1436","1139","1740","15828","12530","19123"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","972062","2011","O3","WHO_2021_AQG_Scen_Base","181","2886.0","2871.3","40","32","48","515","407","622"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","92540","2011","O3","WHO_2021_AQG_Scen_Base","28","3208.3","3200.6","2","2","3","30","24","36"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","683537","2011","O3","WHO_2021_AQG_Scen_Base","138","2454.4","2346.4","24","19","28","312","246","376"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","256418","2011","O3","WHO_2021_AQG_Scen_Base","57","7068.8","6974.7","16","13","19","191","151","231"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7799960","2011","O3","WHO_2021_AQG_Scen_Base","1885","2195.8","2137.7","151","117","183","1882","1485","2270"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11382687","2011","O3","WHO_2021_AQG_Scen_Base","2178","3694.5","3624.6","443","359","536","6217","4925","7515"
